AMS,Leftvar,ROC,Trigger,Info
,Wjet_neHEF2,0.835,Quad,"NTrees=200:MaxDepth=3:MinNodeSize=5%, SplitSeed=123"
,Wjet_mass1,0.834,Quad,
,Wjet_btagDeepC2,0.835,Quad,
,Wjet_mass2,0.835,Quad,
,Hjet_qgl1,0.833,Quad,
,Wjet_neEmEF1,0.835,Quad,
,bJet_btagDeepB1,0.835,Quad,
,bJet_mass1,0.835,Quad,
,Wjet_neEmEF2,0.834,Quad,
,Wjet_btagDeepC1,0.836,Quad,
,Hjet_qgl2,0.835,Quad,
,Wjet_nConstituents2,0.837,Quad,
,Wjet_nConstituents1,0.837,Quad,
,Wjet_neHEF1,0.836,Quad,
,Wjet_pt2,0.837,Quad,
,bJet_btagDeepB2,0.836,Quad,
,recon_Hpt,0.836,Quad,
,bJet_pt1,0.836,Quad,
,Wjet_btagDeepB1,0.834,Quad,
,bJet_pt2,0.83,Quad,
,Jet_HT,0.831,Quad,
,Wjet_pt1,0.821,Quad,
