,trigger,options,AMS,MAD,MSE,ROCIntegral,overtrain,AMSrecon,bckevents,sigevents
0,HLT_PFHT180,VarTransform=G,1.19,0.15314859987645743,0.03746075372754695,91.2313787014311,1.9806178365837468,0.805,98322.39622497559,246.83638256788254
1,HLT_PFHT180,VarTransform=N,,0.14283157804998425,0.03233361493985983,90.73646126890914,1.9849986185110993,0.8,103280.36645507812,238.7212647050619
2,HLT_PFHT180,VarTransform=D,0.756,0.13300732150908107,0.027740741291474583,89.71453924790747,1.9822776751419724,0.603,1267142.8125,615.5138664245605
3,HLT_PFHT180,VarTransform=P,0.769,0.13310039461729062,0.02846991948991598,89.77220623722154,1.9855026980734962,0.632,196115.66455078125,236.3434641957283
4,HLT_PFHT180,VarTransform=U,1.16,0.15345091291269483,0.0380747921987422,91.25072773730106,1.9813373844349371,0.819,203567.1201248169,354.1832146272063
5,HLT_PFHT180,NTrees=50,0.757,0.34775447188217706,0.1763394412976622,89.06015164848341,1.9796178043607995,0.503,2748702.7661132812,824.5638452768326
6,HLT_PFHT180,NTrees=100,0.834,0.30374297357013263,0.13230358004175272,89.66505862282038,1.9855029122934411,0.582,1754996.7592773438,753.6112794876099
7,HLT_PFHT180,NTrees=250,,0.2156145922197474,0.07003478095751593,90.27127819775542,1.9868232525898293,0.691,65592.49517822266,164.81231666356325
8,HLT_PFHT180,NTrees=500,0.984,0.1728089697700652,0.04652210837609522,90.8266254572608,1.9809971122705292,0.739,980620.408203125,712.3509259223938
9,HLT_PFHT180,NTrees=1000,1.15,0.13540109613762974,0.029215770944989637,90.86488897600621,1.9777093043994682,0.872,162363.8514404297,327.2491468191147
10,HLT_PFHT180,BoostType=AdaBoost,1.14,0.1443914413066896,0.032650625663818926,90.84906839786956,1.984178371629696,0.819,152094.96686553955,296.402950450778
11,HLT_PFHT180,BoostType=RealAdaBoost,0.846,0.46306030434587536,0.21619245502150258,89.41289233548149,1.9806772387851197,0.629,418480.64392089844,385.6560187935829
12,HLT_PFHT180,BoostType=Bagging,0.249,0.6846466051303499,0.6093302325242115,82.60087804187017,1.9871976870344952,0.368,118413299.5,3553.986316680908
13,HLT_PFHT180,BoostType=Grad,0.709,0.6910449160965757,0.5657972276935165,90.97089322293965,1.9637627322226763,0.602,8244834.40234375,1701.3200526237488
14,HLT_PFHT180,NodePurityLimit=0.25,0.056,0.6627985394469735,0.6012585297538366,69.70212335918106,1.9889241699129343,0.358,128171286.625,3694.992967605591
15,HLT_PFHT180,NodePurityLimit=0.5,,0.14451152809889556,0.03297794557184708,90.79308473756276,1.9867345765027267,0.748,157606.1219482422,284.13921185582876
16,HLT_PFHT180,NodePurityLimit=0.75,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
17,HLT_PFHT180,MaxDepth=2,0.974,0.13444947499879337,0.026999673177783737,90.20337733691922,1.9852070777781705,0.702,580948.9786376953,513.6009757518768
18,HLT_PFHT180,MaxDepth=3,1.04,0.14800722884309228,0.034755269158226625,91.00981089264242,1.9781421311789984,0.735,1160742.9370117188,780.6638150215149
19,HLT_PFHT180,MaxDepth=5,,0.1432356296713286,0.03309394898702318,90.85182439204236,1.9690973701555663,0.781,355900.8825073242,446.6363940834999
20,HLT_PFHT180,MaxDepth=10,1.1,0.14179669274627366,0.03288202260628872,90.84705623458078,1.9673844249215335,0.784,203600.10848999023,331.45495319366455
21,HLT_PFHT180,MinNodeSize=0.5,1.1,0.1686107510268343,0.04624924776121014,90.79917942493218,1.9839667519050863,0.759,199375.986328125,321.31477004289627
22,HLT_PFHT180,MinNodeSize=1%,1.25,0.15578993996166332,0.038793186608556934,91.12914463916722,1.9840292925561585,0.888,76634.56280517578,221.58598673343658
23,HLT_PFHT180,MinNodeSize=2.5%,1.14,0.14837020724169292,0.03416249711024909,91.1228905553761,1.9831011406456385,0.863,75196.33821105957,223.86641004681587
24,HLT_PFHT180,MinNodeSize=5%,1.08,0.1415615892479286,0.031908914218750785,90.7641554115302,1.9791265582514939,0.708,1400136.50390625,815.7812470197678
25,HLT_PFHT180,MinNodeSize=10%,1.0,0.14072736281209244,0.03027033365596234,90.41725923005728,1.9817003565228504,0.714,205426.6376953125,303.16276091337204
26,HLT_PFHT180,SeparationType=CrossEntropy,,0.14650163427533236,0.03351783688838484,90.94634107328064,1.9816648201355918,0.778,748891.5122070312,650.9593950510025
27,HLT_PFHT180,SeparationType=GiniIndex,1.08,0.14625565259304302,0.03348664142474539,90.79397425013373,1.97949040048195,0.776,466481.6548461914,513.488210529089
28,HLT_PFHT180,SeparationType=GiniIndexWithLaplace,1.07,0.1472522059733287,0.03379950154476132,90.79743230973698,1.9783886095926277,0.78,210153.30136108398,348.031201928854
29,HLT_PFHT180,SeparationType=MisClassificationError,,0.13940049461458556,0.03072810828901517,90.85099373140562,1.9816026878164053,0.734,1060404.5385742188,736.316349864006
30,HLT_PFHT180,SeparationType=SDivSqrtSplusB,0.355,0.26305986705868967,0.11128375137537172,80.65181815018796,1.9840624312910222,0.391,55455945.75,2619.4700241088867
31,HLT_PFHT180,VarTransform=G,1.11,0.15384291885779924,0.03815741837989065,91.24619950918688,1.9848712234647792,0.8,99980.98275756836,244.36861723661423
32,HLT_PFHT180,VarTransform=N,1.05,0.14380093169861222,0.03239853827924268,90.80571367787803,1.9835282853469494,0.728,1305039.9521484375,810.7152868509293
33,HLT_PFHT180,VarTransform=D,0.734,0.1372121609599938,0.029245216598552535,89.73361511039317,1.981946484251722,0.557,823030.8515625,463.29609656333923
34,HLT_PFHT180,VarTransform=P,0.75,0.13053666235355407,0.027434001049766614,89.64159881220688,1.986477850111413,0.64,672131.4921875,458.393593788147
35,HLT_PFHT180,VarTransform=U,1.21,0.15153548039808307,0.03670738581281635,91.28705193570974,1.984227954447892,0.88,144491.94213867188,322.4333377406001
36,HLT_PFHT180,NTrees=50,0.752,0.368874466638533,0.19512368966159518,88.98671449134166,1.9834345274630323,0.541,2031212.4592285156,752.7852430343628
37,HLT_PFHT180,NTrees=100,0.806,0.27962906486863565,0.11490753369538659,89.73601877705228,1.9848056853437583,0.576,1176059.517944336,609.6639863848686
38,HLT_PFHT180,NTrees=250,0.923,0.21530322243116257,0.07146763998569709,90.28617958827424,1.9858287521060731,0.665,1456260.9096679688,777.497744679451
39,HLT_PFHT180,NTrees=500,1.08,0.17564820843222706,0.048109010630320595,90.83337635085519,1.9802378100962414,0.794,142237.07647705078,275.7652817964554
40,HLT_PFHT180,NTrees=1000,1.08,0.13068311417916414,0.02726585344207357,91.04367645553761,1.983392148215465,0.777,134139.27655029297,267.98045506328344
41,HLT_PFHT180,BoostType=AdaBoost,1.1,0.14900513500243365,0.034965889051138455,90.98797129623203,1.982843570063551,0.761,122088.81423950195,253.90819841623306
42,HLT_PFHT180,BoostType=RealAdaBoost,0.771,0.4631781813121565,0.2164185005133162,89.03935497228066,1.9820179852615638,0.549,3626149.8388671875,1015.4700407981873
43,HLT_PFHT180,BoostType=Bagging,0.228,0.6517890007998568,0.5325252239905411,81.07618908667588,1.982686512870714,0.412,30009919.25,1971.4665622711182
44,HLT_PFHT180,BoostType=Grad,0.707,0.6900412238146767,0.5636198034982606,90.8712204212409,1.968062138184905,0.596,8359448.99609375,1687.5484282970428
45,HLT_PFHT180,NodePurityLimit=0.25,0.023,0.9394226457008791,0.9195060065509086,22.48301027452275,1.9864507988095284,0.33,195987885.0,4076.4184761047363
46,HLT_PFHT180,NodePurityLimit=0.5,1.11,0.14499999084303897,0.033106352259149575,90.9002022276075,1.981384755896073,0.796,186212.24151611328,328.7075186818838
47,HLT_PFHT180,NodePurityLimit=0.75,0.16,1.0000046409429386,1.000016798602925,57.566224245348685,2.0,0.371,6577249.125,806.7057385444641
48,HLT_PFHT180,MaxDepth=2,0.938,0.13878434561924533,0.029463219245909954,90.25541870825846,1.9833310832313487,0.689,524112.63427734375,477.83621519804
49,HLT_PFHT180,MaxDepth=3,,0.144761286626959,0.03333888289191708,90.84716670853845,1.984284428447154,0.845,118840.20739746094,274.29364836215973
50,HLT_PFHT180,MaxDepth=5,1.07,0.14291499508453986,0.03346535721344319,90.84664384610386,1.969668584010435,0.797,233706.92715454102,365.6562612503767
51,HLT_PFHT180,MaxDepth=10,1.09,0.1425556139237485,0.033198971956615544,90.9263736464048,1.96433377805306,0.793,442928.46252441406,521.6429996490479
52,HLT_PFHT180,MinNodeSize=0.5,1.21,0.16179387348428204,0.042012297158459916,90.88889222281023,1.9834137083376575,0.876,109878.07104492188,272.1890741288662
53,HLT_PFHT180,MinNodeSize=1%,1.19,0.15568294409248748,0.03884171653827871,90.97110872453561,1.9815421041311083,0.815,151876.50674438477,305.64114460349083
54,HLT_PFHT180,MinNodeSize=2.5%,1.15,0.14716149298645423,0.03391602533566138,91.11871317698841,1.9843078301786647,0.785,142461.56307983398,285.09135165810585
55,HLT_PFHT180,MinNodeSize=5%,1.02,0.14644802139891702,0.033970943929233985,90.78639443768198,1.9855880659440572,0.754,119110.92892456055,248.10306015610695
56,HLT_PFHT180,MinNodeSize=10%,0.951,0.1441412672144621,0.031640683989354795,90.47365560662617,1.9806653068770856,0.662,1423741.787109375,779.5456631183624
57,HLT_PFHT180,SeparationType=CrossEntropy,1.07,0.14565196490071533,0.03322987336790068,91.04899021127902,1.986525631989025,0.815,157857.61151123047,300.2707544416189
58,HLT_PFHT180,SeparationType=GiniIndex,1.09,0.14456410963699018,0.03325133302784672,90.8090403593984,1.979870506852535,0.819,141518.7462158203,280.19275656342506
59,HLT_PFHT180,SeparationType=GiniIndexWithLaplace,1.03,0.14579228638316624,0.03370335527503713,90.89255523333686,1.981943074144283,0.739,125847.97036743164,249.92403235286474
60,HLT_PFHT180,SeparationType=MisClassificationError,1.1,0.1477844176579927,0.034640831908933474,90.83155008155592,1.9800582279839603,0.847,81648.39518737793,219.58155299723148
61,HLT_PFHT180,SeparationType=SDivSqrtSplusB,0.329,0.29170399647153195,0.1297303765516589,79.49910906030063,1.9832004009458615,0.381,45001999.0,2293.7606658935547
