,variable,trigger,AMS,cut at
0,recon_Wmass<,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10602,108.08
1,recon_Wmass<,HLT_PFHT180,12151,108.08
2,recon_Wmass>,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10421,56.16
3,recon_Wmass>,HLT_PFHT180,11797,51.21
4,Jet_HT>,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10382,321.21
5,Jet_HT>,HLT_PFHT180,11703,187.88
6,recon_Hpt>,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10260,50
7,recon_Hpt>,HLT_PFHT180,11346,50
8,deltaR_W<,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,9931,5
9,deltaR_W<,HLT_PFHT180,11279,5
10,Jet_pt[recon_WJets_id[0]]>,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10352,0
11,Jet_pt[recon_WJets_id[0]]>,HLT_PFHT180,11676,0
12,deltaR_reconHW<,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10664,3.59
13,deltaR_reconHW<,HLT_PFHT180,12607,3.48
14,Jet_pt[recon_bjet_id[0]]>,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10329,50
15,Jet_pt[recon_bjet_id[0]]>,HLT_PFHT180,11723,50
16,Jet_btagDeepB[recon_WJets_id[1]]<,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10362,0.92
17,Jet_btagDeepB[recon_WJets_id[1]]<,HLT_PFHT180,11702,0.89
18,Jet_pt[recon_WJets_id[1]]>,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10352,0
19,Jet_pt[recon_WJets_id[1]]>,HLT_PFHT180,11676,0
20,recon_Wpt>,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10352,0
21,recon_Wpt>,HLT_PFHT180,11676,0
22,Jet_btagDeepB[recon_WJets_id[0]]<,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,10398,0.9
23,Jet_btagDeepB[recon_WJets_id[0]]<,HLT_PFHT180,11768,0.81
24,Jet_pt[recon_bjet_id[1]]>,HLT_PFHT300PT30_QuadPFJet_75_60_45_40,8992,50
25,Jet_pt[recon_bjet_id[1]]>,HLT_PFHT180,9136,50
